,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
85,Mayra Bueno Silva,Jacqueline Cavalcanti,0,0,39 of 97,80 of 164,40%,48%,46 of 107,87 of 172,0 of 4,0 of 0,0%,---,0,0,0,0,1:12,0:55,15 of 62,45 of 118,8 of 14,20 of 26,16 of 21,15 of 20,36 of 93,73 of 156,3 of 4,7 of 8,0 of 0,0 of 0
86,Josh Hokit,Max Gimenis,2,0,9 of 17,3 of 7,52%,42%,11 of 19,3 of 7,0 of 0,0 of 0,---,---,0,0,0,0,0:08,0:00,9 of 17,0 of 4,0 of 0,1 of 1,0 of 0,2 of 2,7 of 15,3 of 6,1 of 1,0 of 1,1 of 1,0 of 0
87,Tecia Pennington,Denise Gomes,0,0,58 of 125,53 of 138,46%,38%,73 of 144,75 of 169,1 of 2,3 of 10,50%,30%,0,0,0,1,0:32,3:51,15 of 56,19 of 86,9 of 19,15 of 29,34 of 50,19 of 23,58 of 118,48 of 129,0 of 7,2 of 5,0 of 0,3 of 4
88,Miles Johns,Daniel Marcos,0,0,28 of 54,27 of 47,51%,57%,33 of 61,42 of 69,0 of 1,3 of 4,0%,75%,0,1,0,0,1:34,3:59,21 of 45,15 of 33,3 of 5,8 of 10,4 of 4,4 of 4,28 of 49,14 of 34,0 of 5,13 of 13,0 of 0,0 of 0
89,Zach Reese,Jackson McVey,0,0,32 of 42,56 of 73,76%,76%,81 of 97,68 of 86,3 of 3,0 of 0,100%,---,1,0,0,1,2:24,2:23,21 of 31,28 of 39,5 of 5,27 of 33,6 of 6,1 of 1,15 of 19,9 of 19,16 of 21,47 of 54,1 of 2,0 of 0
90,Steve Garcia,David Onama,1,0,33 of 62,2 of 16,53%,12%,43 of 72,2 of 16,0 of 0,0 of 0,---,---,0,0,0,0,0:04,0:00,28 of 56,1 of 14,5 of 6,0 of 1,0 of 0,1 of 1,26 of 52,2 of 16,5 of 7,0 of 0,2 of 3,0 of 0
91,Waldo Cortes Acosta,Ante Delija,1,0,12 of 17,16 of 36,70%,44%,18 of 24,18 of 38,0 of 0,0 of 1,---,0%,0,0,0,0,1:37,0:25,9 of 11,13 of 33,2 of 5,2 of 2,1 of 1,1 of 1,4 of 8,15 of 33,2 of 3,1 of 3,6 of 6,0 of 0
92,Jeremiah Wells,Themba Gorimbo,0,0,32 of 53,18 of 33,60%,54%,59 of 84,80 of 102,3 of 5,6 of 9,60%,66%,3,0,0,1,6:05,5:39,23 of 43,8 of 22,5 of 5,9 of 10,4 of 5,1 of 1,21 of 39,15 of 30,0 of 0,1 of 1,11 of 14,2 of 2
93,Isaac Dulgarian,Yadier del Valle,0,0,0 of 1,1 of 1,0%,100%,3 of 6,28 of 43,0 of 1,0 of 0,0%,---,0,3,0,0,0:16,2:56,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 1,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0
94,Charles Radtke,Daniel Frunza,0,0,31 of 38,6 of 24,81%,25%,163 of 214,68 of 102,3 of 5,0 of 0,60%,---,2,0,0,0,11:41,0:00,28 of 34,4 of 16,1 of 1,2 of 4,2 of 3,0 of 4,4 of 9,6 of 22,1 of 1,0 of 2,26 of 28,0 of 0
95,Allan Nascimento,Cody Durden,0,0,52 of 115,57 of 128,45%,44%,52 of 115,57 of 128,0 of 1,1 of 3,0%,33%,1,0,0,0,0:21,0:05,19 of 69,47 of 112,7 of 17,5 of 9,26 of 29,5 of 7,51 of 114,57 of 128,1 of 1,0 of 0,0 of 0,0 of 0
96,Billy Elekana,Kevin Christian,1,0,17 of 23,14 of 17,73%,82%,19 of 25,14 of 17,0 of 0,0 of 0,---,---,1,0,0,0,0:21,0:00,11 of 15,0 of 3,2 of 2,6 of 6,4 of 6,8 of 8,8 of 12,14 of 17,0 of 0,0 of 0,9 of 11,0 of 0
97,Timmy Cuamba,ChangHo Lee,0,0,23 of 32,15 of 26,71%,57%,39 of 48,88 of 141,2 of 4,3 of 8,50%,37%,0,0,1,0,5:55,6:25,17 of 26,10 of 18,6 of 6,2 of 4,0 of 0,3 of 4,15 of 22,13 of 24,8 of 10,2 of 2,0 of 0,0 of 0
98,Donte Johnson,Sedriques Dumas,0,0,10 of 18,5 of 16,55%,31%,18 of 27,12 of 23,3 of 3,1 of 5,100%,20%,1,0,0,0,3:04,2:03,9 of 17,0 of 10,0 of 0,4 of 5,1 of 1,1 of 1,3 of 10,3 of 12,6 of 7,2 of 2,1 of 1,0 of 2
99,Ketlen Vieira,Norma Dumont,0,0,25 of 83,62 of 101,30%,61%,58 of 121,87 of 127,2 of 4,0 of 0,50%,---,1,0,0,0,5:19,0:11,10 of 60,24 of 60,5 of 10,18 of 21,10 of 13,20 of 20,25 of 79,57 of 96,0 of 2,5 of 5,0 of 2,0 of 0
100,Alice Ardelean,Montserrat Conejo Ruiz,0,0,138 of 280,85 of 282,49%,30%,146 of 288,91 of 291,1 of 3,1 of 6,33%,16%,0,0,0,0,0:41,0:29,103 of 235,54 of 239,23 of 30,4 of 7,12 of 15,27 of 36,137 of 277,82 of 269,1 of 3,3 of 13,0 of 0,0 of 0
101,Phil Rowe,Seokhyeon Ko,0,0,4 of 7,36 of 42,57%,85%,11 of 15,124 of 157,0 of 0,4 of 4,---,100%,0,0,1,0,0:07,13:10,2 of 5,27 of 33,1 of 1,0 of 0,1 of 1,9 of 9,4 of 7,12 of 16,0 of 0,0 of 0,0 of 0,24 of 26
102,Talita Alencar,Ariane Carnelossi,0,0,60 of 100,25 of 76,60%,32%,79 of 122,50 of 106,5 of 8,0 of 1,62%,0%,2,0,0,0,6:10,2:19,34 of 67,10 of 57,19 of 23,3 of 5,7 of 10,12 of 14,31 of 65,25 of 71,14 of 15,0 of 5,15 of 20,0 of 0
103,Tom Aspinall,Ciryl Gane,0,0,27 of 39,30 of 40,69%,75%,27 of 39,30 of 40,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:00,14 of 25,8 of 16,5 of 6,9 of 11,8 of 8,13 of 13,27 of 39,30 of 40,0 of 0,0 of 0,0 of 0,0 of 0
104,Virna Jandiroba,Mackenzie Dern,0,0,106 of 217,118 of 231,48%,51%,208 of 331,249 of 372,9 of 17,2 of 8,52%,25%,0,0,0,0,9:07,3:45,72 of 177,84 of 193,20 of 25,21 of 25,14 of 15,13 of 13,83 of 192,89 of 199,20 of 21,8 of 10,3 of 4,21 of 22
105,Umar Nurmagomedov,Mario Bautista,0,1,32 of 54,20 of 54,59%,37%,81 of 105,33 of 67,11 of 14,0 of 1,78%,0%,0,1,0,0,10:46,0:04,24 of 44,6 of 37,6 of 8,11 of 14,2 of 2,3 of 3,23 of 44,17 of 50,2 of 2,2 of 3,7 of 8,1 of 1
106,Alexander Volkov,Jailton Almeida,0,0,24 of 27,9 of 10,88%,90%,123 of 130,27 of 33,0 of 0,7 of 9,---,77%,0,0,1,0,2:57,10:47,19 of 21,8 of 9,5 of 6,1 of 1,0 of 0,0 of 0,1 of 4,1 of 1,6 of 6,4 of 4,17 of 17,4 of 5
107,Aleksandar Rakic,Azamat Murzakanov,0,1,9 of 14,3 of 8,64%,37%,13 of 18,4 of 9,0 of 2,0 of 0,0%,---,0,0,0,0,0:36,0:02,0 of 3,1 of 6,3 of 4,2 of 2,6 of 7,0 of 0,8 of 13,2 of 7,1 of 1,0 of 0,0 of 0,1 of 1
108,Nasrat Haqparast,Quillan Salkilld,0,1,10 of 13,14 of 36,76%,38%,10 of 13,14 of 36,0 of 0,0 of 4,---,0%,0,0,0,0,0:00,0:00,7 of 10,6 of 24,2 of 2,7 of 10,1 of 1,1 of 2,9 of 12,14 of 35,1 of 1,0 of 1,0 of 0,0 of 0
109,Ikram Aliskerov,JunYong Park,0,0,91 of 134,78 of 132,67%,59%,126 of 174,91 of 151,5 of 7,0 of 0,71%,---,0,0,0,0,6:07,0:19,57 of 94,57 of 108,26 of 29,18 of 20,8 of 11,3 of 4,79 of 120,73 of 127,3 of 4,2 of 2,9 of 10,3 of 3
110,Ludovit Klein,Mateusz Rebecki,0,0,82 of 140,72 of 159,58%,45%,90 of 149,113 of 208,0 of 0,3 of 12,---,25%,0,0,0,0,0:00,5:03,69 of 127,55 of 139,9 of 9,11 of 14,4 of 4,6 of 6,72 of 126,45 of 130,0 of 2,4 of 4,10 of 12,23 of 25
111,Valter Walker,Louie Sutherland,0,0,5 of 5,3 of 5,100%,60%,7 of 7,3 of 5,1 of 1,0 of 0,100%,---,1,0,0,0,0:31,0:00,0 of 0,1 of 1,2 of 2,0 of 2,3 of 3,2 of 2,5 of 5,3 of 5,0 of 0,0 of 0,0 of 0,0 of 0
112,Nathaniel Wood,Jose Delgado,1,1,99 of 176,134 of 232,56%,57%,101 of 178,141 of 239,2 of 3,0 of 2,66%,0%,0,0,0,0,0:58,1:28,63 of 124,92 of 178,7 of 8,35 of 46,29 of 44,7 of 8,88 of 159,100 of 190,7 of 10,14 of 16,4 of 7,20 of 26
113,Hamdy Abdelwahab,Chris Barnett,0,0,99 of 139,18 of 35,71%,51%,170 of 221,28 of 46,9 of 14,0 of 0,64%,---,0,0,0,0,10:48,0:00,88 of 125,7 of 21,8 of 10,4 of 4,3 of 4,7 of 10,16 of 25,14 of 30,13 of 14,3 of 4,70 of 100,1 of 1
114,Azat Maksum,Mitch Raposo,0,0,19 of 88,30 of 66,21%,45%,30 of 101,53 of 92,7 of 19,0 of 0,36%,---,0,0,0,0,5:27,0:49,14 of 80,20 of 50,1 of 3,7 of 13,4 of 5,3 of 3,17 of 85,30 of 65,1 of 2,0 of 1,1 of 1,0 of 0
115,Jaqueline Amorim,Mizuki,0,1,26 of 62,62 of 103,41%,60%,48 of 88,150 of 203,2 of 6,2 of 2,33%,100%,1,0,1,1,1:43,7:28,19 of 44,54 of 93,3 of 13,8 of 10,4 of 5,0 of 0,18 of 54,20 of 52,3 of 3,14 of 17,5 of 5,28 of 34
116,Reinier de Ridder,Brendan Allen,0,0,9 of 13,22 of 37,69%,59%,61 of 72,97 of 134,3 of 7,1 of 1,42%,100%,1,1,0,2,7:05,11:39,4 of 5,19 of 33,5 of 8,3 of 4,0 of 0,0 of 0,6 of 10,1 of 8,2 of 2,2 of 2,1 of 1,19 of 27
117,Kevin Holland,Mike Malott,0,0,52 of 137,49 of 95,37%,51%,76 of 162,50 of 99,1 of 1,1 of 4,100%,25%,0,1,0,1,0:27,2:31,23 of 96,35 of 73,9 of 13,10 of 15,20 of 28,4 of 7,49 of 127,44 of 88,3 of 9,1 of 3,0 of 1,4 of 4
118,Marlon Vera,Aiemann Zahabi,1,0,56 of 152,81 of 152,36%,53%,56 of 153,81 of 152,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,30 of 107,47 of 107,14 of 26,20 of 28,12 of 19,14 of 17,55 of 150,79 of 149,1 of 2,2 of 3,0 of 0,0 of 0
119,Manon Fiorot,Jasmine Jasudavicius,0,0,16 of 27,2 of 14,59%,14%,17 of 28,2 of 14,0 of 0,0 of 0,---,---,0,0,0,0,0:06,0:00,16 of 26,2 of 14,0 of 1,0 of 0,0 of 0,0 of 0,8 of 16,2 of 14,0 of 2,0 of 0,8 of 9,0 of 0
120,Charles Jourdain,Davey Grant,1,0,25 of 43,9 of 26,58%,34%,25 of 43,9 of 26,0 of 0,0 of 0,---,---,1,0,0,0,0:20,0:00,20 of 35,3 of 14,5 of 8,1 of 3,0 of 0,5 of 9,17 of 31,9 of 26,0 of 0,0 of 0,8 of 12,0 of 0
121,Kyle Nelson,Matt Frevola,1,0,63 of 135,43 of 136,46%,31%,92 of 170,60 of 155,2 of 5,2 of 3,40%,66%,0,0,0,1,3:11,1:58,41 of 103,23 of 103,14 of 23,10 of 20,8 of 9,10 of 13,46 of 106,39 of 129,7 of 14,4 of 7,10 of 15,0 of 0
122,Kyle Prepolec,Drew Dober,0,0,51 of 164,83 of 161,31%,51%,51 of 164,85 of 163,0 of 3,0 of 1,0%,0%,0,0,0,0,0:02,0:04,36 of 139,46 of 117,7 of 13,18 of 22,8 of 12,19 of 22,51 of 164,77 of 153,0 of 0,6 of 8,0 of 0,0 of 0
123,Cody Gibson,Aoriqileng,0,1,3 of 3,5 of 8,100%,62%,3 of 3,6 of 9,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:04,1 of 1,5 of 7,0 of 0,0 of 1,2 of 2,0 of 0,3 of 3,2 of 2,0 of 0,0 of 0,0 of 0,3 of 6
124,Bruno Silva,HyunSung Park,1,0,46 of 74,31 of 108,62%,28%,60 of 92,56 of 136,5 of 9,1 of 4,55%,25%,1,0,0,0,4:49,0:42,30 of 57,18 of 86,14 of 14,11 of 15,2 of 3,2 of 7,44 of 72,23 of 95,2 of 2,8 of 13,0 of 0,0 of 0
125,Danny Barlow,Djorden Santos,0,0,93 of 171,99 of 216,54%,45%,106 of 186,109 of 232,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,1:55,56 of 129,74 of 182,12 of 15,11 of 18,25 of 27,14 of 16,92 of 170,95 of 211,0 of 0,1 of 1,1 of 1,3 of 4
126,Stephanie Luciano,Ravena Oliveira,0,0,60 of 124,24 of 103,48%,23%,80 of 153,36 of 118,3 of 4,0 of 0,75%,---,1,0,0,0,2:53,0:00,22 of 69,14 of 76,14 of 23,3 of 5,24 of 32,7 of 22,46 of 102,24 of 102,5 of 6,0 of 1,9 of 16,0 of 0
127,Azamat Bekoev,Yousri Belgaroui,0,0,24 of 77,102 of 138,31%,73%,27 of 83,110 of 148,4 of 8,1 of 1,50%,100%,0,0,0,0,3:18,0:40,18 of 71,73 of 108,4 of 4,17 of 17,2 of 2,12 of 13,22 of 75,94 of 130,2 of 2,4 of 4,0 of 0,4 of 4
128,Melissa Croden,Tainara Lisboa,1,0,99 of 175,42 of 92,56%,45%,148 of 230,63 of 115,2 of 3,2 of 8,66%,25%,0,0,0,0,5:05,2:19,74 of 141,23 of 70,12 of 16,18 of 21,13 of 18,1 of 1,57 of 108,23 of 70,13 of 20,19 of 22,29 of 47,0 of 0
129,Charles Oliveira,Mateusz Gamrot,0,0,11 of 33,18 of 42,33%,42%,18 of 40,18 of 43,1 of 1,1 of 1,100%,100%,1,0,1,0,3:35,1:00,4 of 21,16 of 40,3 of 6,2 of 2,4 of 6,0 of 0,10 of 32,18 of 42,1 of 1,0 of 0,0 of 0,0 of 0
130,Deiveson Figueiredo,Montel Jackson,0,0,23 of 43,30 of 70,53%,42%,23 of 44,30 of 70,2 of 5,1 of 1,40%,100%,0,0,0,0,2:18,0:02,4 of 19,14 of 51,9 of 11,7 of 8,10 of 13,9 of 11,22 of 42,28 of 67,0 of 0,2 of 3,1 of 1,0 of 0
131,Vicente Luque,Joel Alvarez,0,0,30 of 99,89 of 148,30%,60%,31 of 101,197 of 288,0 of 2,1 of 1,0%,100%,0,1,0,0,0:00,6:30,16 of 74,74 of 130,6 of 13,12 of 15,8 of 12,3 of 3,30 of 99,55 of 100,0 of 0,0 of 0,0 of 0,34 of 48
132,Jhonata Diniz,Mario Pinto,0,0,1 of 5,29 of 33,20%,87%,4 of 9,87 of 102,0 of 0,3 of 4,---,75%,0,2,1,1,0:09,7:28,0 of 2,28 of 31,0 of 1,0 of 0,1 of 2,1 of 2,1 of 5,2 of 3,0 of 0,0 of 0,0 of 0,27 of 30
133,Ricardo Ramos,Kaan Ofli,0,0,1 of 4,1 of 1,25%,100%,1 of 4,1 of 1,0 of 0,1 of 1,---,100%,3,1,0,0,0:00,1:56,1 of 2,0 of 0,0 of 1,0 of 0,0 of 1,1 of 1,1 of 4,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0
134,Lucas Almeida,Michael Aswell Jr.,0,2,9 of 21,30 of 54,42%,55%,9 of 21,34 of 59,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:15,3 of 14,30 of 53,1 of 1,0 of 0,5 of 6,0 of 1,9 of 21,19 of 37,0 of 0,1 of 1,0 of 0,10 of 16
135,Jafel Filho,Clayton Carpenter,0,0,5 of 13,7 of 21,38%,33%,28 of 38,12 of 27,1 of 1,0 of 0,100%,---,1,0,1,1,2:23,1:04,1 of 6,2 of 9,0 of 1,3 of 8,4 of 6,2 of 4,4 of 11,5 of 18,1 of 2,2 of 3,0 of 0,0 of 0
136,Vitor Petrino,Thomas Petersen,2,0,31 of 54,16 of 35,57%,45%,33 of 61,41 of 62,1 of 6,0 of 8,16%,0%,0,0,0,0,3:03,2:06,25 of 46,7 of 25,5 of 7,9 of 10,1 of 1,0 of 0,13 of 29,13 of 29,9 of 12,3 of 6,9 of 13,0 of 0
137,Bia Mesquita,Irina Alekseeva,0,0,36 of 63,6 of 23,57%,26%,61 of 98,17 of 34,2 of 3,0 of 0,66%,---,1,0,0,0,4:53,0:00,35 of 62,3 of 12,0 of 0,0 of 3,1 of 1,3 of 8,2 of 11,6 of 23,0 of 0,0 of 0,34 of 52,0 of 0
138,Lucas Rocha,Stewart Nicoll,0,0,115 of 226,45 of 138,50%,32%,130 of 244,46 of 139,3 of 4,2 of 20,75%,10%,0,0,0,0,1:25,1:30,81 of 184,41 of 133,30 of 37,2 of 3,4 of 5,2 of 2,100 of 205,45 of 135,11 of 15,0 of 3,4 of 6,0 of 0
139,Julia Polastri,Karolina Kowalkiewicz,0,0,137 of 253,72 of 192,54%,37%,142 of 261,75 of 196,0 of 0,1 of 4,---,25%,0,0,0,0,0:46,0:31,85 of 193,24 of 121,42 of 49,36 of 57,10 of 11,12 of 14,123 of 233,71 of 189,14 of 20,1 of 3,0 of 0,0 of 0
140,Luan Lacerda,Saimon Oliveira,0,0,24 of 39,21 of 34,61%,61%,60 of 85,33 of 52,3 of 4,1 of 2,75%,50%,1,0,0,2,6:06,1:45,13 of 26,14 of 21,10 of 12,3 of 7,1 of 1,4 of 6,6 of 13,8 of 17,6 of 8,2 of 3,12 of 18,11 of 14
141,Magomed Ankalaev,Alex Pereira,0,0,4 of 9,28 of 45,44%,62%,4 of 9,28 of 45,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:17,0 of 4,21 of 35,3 of 4,3 of 6,1 of 1,4 of 4,4 of 9,5 of 12,0 of 0,0 of 0,0 of 0,23 of 33
142,Merab Dvalishvili,Cory Sandhagen,0,0,114 of 265,80 of 184,43%,43%,243 of 399,149 of 257,20 of 37,0 of 0,54%,---,0,0,0,0,10:02,0:00,86 of 231,46 of 143,13 of 18,18 of 23,15 of 16,16 of 18,79 of 220,80 of 184,22 of 27,0 of 0,13 of 18,0 of 0
143,Jiri Prochazka,Khalil Rountree Jr.,1,0,71 of 138,66 of 158,51%,41%,71 of 138,66 of 158,0 of 0,0 of 0,---,---,0,0,0,0,0:12,0:02,44 of 100,44 of 127,16 of 25,12 of 17,11 of 13,10 of 14,61 of 127,62 of 151,10 of 11,4 of 7,0 of 0,0 of 0
144,Josh Emmett,Youssef Zalal,0,0,0 of 0,0 of 1,---,0%,0 of 0,0 of 1,0 of 0,1 of 1,---,100%,0,1,0,0,0:16,0:48,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0
145,Abus Magomedov,Joe Pyfer,0,1,11 of 12,6 of 10,91%,60%,18 of 21,13 of 18,1 of 1,0 of 4,100%,0%,1,2,0,0,2:36,2:16,6 of 7,6 of 10,5 of 5,0 of 0,0 of 0,0 of 0,3 of 4,3 of 6,0 of 0,0 of 0,8 of 8,3 of 4
146,Ateba Gautier,Tre'ston Vines,1,0,6 of 12,0 of 1,50%,0%,6 of 12,0 of 1,1 of 1,0 of 2,100%,0%,0,0,0,0,0:04,0:06,4 of 10,0 of 0,2 of 2,0 of 0,0 of 0,0 of 1,1 of 5,0 of 1,4 of 4,0 of 0,1 of 3,0 of 0
147,Daniel Santos,JooSang Yoo,1,0,27 of 62,31 of 55,43%,56%,28 of 63,51 of 75,1 of 2,0 of 0,50%,---,0,0,0,0,1:23,0:00,16 of 41,15 of 38,2 of 8,5 of 5,9 of 13,11 of 12,18 of 50,30 of 54,0 of 1,1 of 1,9 of 11,0 of 0
148,Patchy Mix,Jakub Wiklacz,0,0,37 of 58,46 of 83,63%,55%,75 of 101,107 of 147,5 of 7,0 of 0,71%,---,0,3,0,1,7:41,2:04,23 of 40,21 of 43,6 of 9,22 of 35,8 of 9,3 of 5,25 of 42,38 of 74,5 of 6,4 of 4,7 of 10,4 of 5
149,Edmen Shahbazyan,Andre Muniz,1,0,25 of 50,15 of 38,50%,39%,26 of 51,17 of 40,0 of 0,1 of 3,---,33%,0,0,0,0,0:39,0:18,20 of 45,6 of 20,3 of 3,2 of 10,2 of 2,7 of 8,12 of 27,15 of 38,1 of 2,0 of 0,12 of 21,0 of 0
150,Punahele Soriano,Nikolay Veretennikov,0,0,39 of 54,9 of 12,72%,75%,163 of 200,34 of 37,4 of 11,0 of 1,36%,0%,1,2,1,0,12:35,0:49,38 of 51,2 of 2,1 of 3,6 of 9,0 of 0,1 of 1,1 of 4,4 of 6,1 of 1,4 of 5,37 of 49,1 of 1
151,Macy Chiasson,Yana Santos,0,0,54 of 118,65 of 124,45%,52%,91 of 158,115 of 176,2 of 3,0 of 1,66%,0%,1,0,0,0,3:43,0:49,25 of 76,29 of 74,25 of 35,31 of 43,4 of 7,5 of 7,24 of 81,29 of 73,25 of 29,36 of 51,5 of 8,0 of 0
152,Chris Gutierrez,Farid Basharat,0,0,31 of 86,41 of 110,36%,37%,61 of 119,56 of 126,1 of 1,2 of 2,100%,100%,0,0,1,0,0:42,3:27,18 of 63,19 of 75,0 of 3,5 of 11,13 of 20,17 of 24,30 of 85,39 of 104,0 of 0,0 of 0,1 of 1,2 of 6
153,Ramiz Brahimaj,Austin Vanderford,0,0,21 of 35,5 of 16,60%,31%,46 of 61,13 of 24,0 of 1,3 of 6,0%,50%,2,0,0,0,0:37,3:23,18 of 29,4 of 14,0 of 2,0 of 1,3 of 4,1 of 1,9 of 23,4 of 15,8 of 8,0 of 0,4 of 4,1 of 1
154,Veronica Hardy,Brogan Walker,1,0,39 of 75,22 of 60,52%,36%,53 of 94,30 of 70,0 of 0,3 of 4,---,75%,1,0,0,0,2:36,2:55,31 of 65,12 of 49,2 of 4,3 of 3,6 of 6,7 of 8,32 of 65,16 of 49,4 of 4,2 of 2,3 of 6,4 of 9
155,Carlos Ulberg,Dominick Reyes,1,0,11 of 17,5 of 11,64%,45%,11 of 17,5 of 11,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,6 of 9,0 of 5,2 of 3,1 of 1,3 of 5,4 of 5,9 of 15,5 of 11,0 of 0,0 of 0,2 of 2,0 of 0
156,Jimmy Crute,Ivan Erslan,0,0,12 of 16,10 of 14,75%,71%,12 of 16,10 of 14,2 of 4,0 of 0,50%,---,1,0,1,0,2:08,0:05,3 of 7,9 of 13,1 of 1,0 of 0,8 of 8,1 of 1,9 of 12,10 of 14,0 of 0,0 of 0,3 of 4,0 of 0
157,Jack Jenkins,Ramon Taveras,0,0,65 of 109,43 of 113,59%,38%,73 of 123,68 of 142,3 of 6,0 of 4,50%,0%,1,0,0,1,3:58,1:39,29 of 68,36 of 98,16 of 21,6 of 14,20 of 20,1 of 1,58 of 95,38 of 106,4 of 5,0 of 1,3 of 9,5 of 6
158,Jake Matthews,Neil Magny,0,0,18 of 44,31 of 57,40%,54%,28 of 54,73 of 103,0 of 1,3 of 5,0%,60%,3,1,1,0,4:43,2:46,11 of 36,28 of 52,4 of 4,1 of 2,3 of 4,2 of 3,15 of 37,29 of 52,2 of 4,2 of 5,1 of 3,0 of 0
159,Tom Nolan,Charlie Campbell,0,0,26 of 61,15 of 42,42%,35%,33 of 69,15 of 42,1 of 1,0 of 1,100%,0%,1,0,0,0,0:34,0:18,13 of 35,7 of 30,9 of 20,1 of 5,4 of 6,7 of 7,23 of 55,14 of 39,3 of 6,0 of 1,0 of 0,1 of 2
160,Navajo Stirling,Rodolfo Bellato,0,0,81 of 158,43 of 89,51%,48%,101 of 193,62 of 111,1 of 4,2 of 6,25%,33%,0,0,0,0,3:53,2:23,44 of 102,21 of 60,35 of 53,12 of 19,2 of 3,10 of 10,70 of 145,39 of 81,10 of 12,4 of 6,1 of 1,0 of 2
161,Cam Rowston,Andre Petroski,1,0,12 of 36,7 of 13,33%,53%,20 of 48,7 of 13,0 of 0,0 of 0,---,---,0,0,0,0,0:36,0:00,8 of 31,0 of 4,1 of 2,0 of 1,3 of 3,7 of 8,8 of 19,7 of 13,0 of 0,0 of 0,4 of 17,0 of 0
162,Jamie Mullarkey,Rolando Bedoya,0,0,43 of 89,46 of 116,48%,39%,47 of 94,55 of 129,3 of 17,0 of 0,17%,---,0,1,0,0,5:41,0:07,32 of 74,32 of 93,7 of 10,8 of 13,4 of 5,6 of 10,40 of 82,37 of 99,3 of 6,9 of 16,0 of 1,0 of 1
163,Colby Thicknesse,Josias Musasa,0,0,62 of 111,43 of 89,55%,48%,126 of 199,62 of 118,2 of 14,1 of 2,14%,50%,1,0,0,0,7:45,0:52,48 of 95,26 of 61,8 of 10,7 of 10,6 of 6,10 of 18,15 of 31,27 of 62,4 of 6,16 of 25,43 of 74,0 of 2
164,Michelle Montague,Luana Carolina,0,0,41 of 88,48 of 82,46%,58%,99 of 164,75 of 115,5 of 7,0 of 0,71%,---,0,1,0,0,10:43,0:00,34 of 77,31 of 60,6 of 9,5 of 6,1 of 2,12 of 16,12 of 36,46 of 77,1 of 1,1 of 3,28 of 51,1 of 2
165,Brando Pericic,Elisha Ellison,0,0,29 of 49,3 of 9,59%,33%,30 of 50,3 of 9,0 of 0,0 of 2,---,0%,0,0,0,0,0:29,0:13,23 of 42,2 of 8,2 of 3,1 of 1,4 of 4,0 of 0,11 of 20,2 of 8,12 of 18,1 of 1,6 of 11,0 of 0
166,Loma Lookboonmee,Alexia Thainara,0,0,30 of 61,44 of 107,49%,41%,67 of 102,110 of 202,0 of 1,5 of 11,0%,45%,0,1,0,0,0:11,10:02,14 of 37,29 of 78,12 of 19,7 of 13,4 of 5,8 of 16,25 of 51,23 of 70,5 of 10,9 of 18,0 of 0,12 of 19
167,Diego Lopes,Jean Silva,1,0,74 of 135,43 of 91,54%,47%,86 of 154,43 of 91,3 of 4,0 of 0,75%,---,0,0,0,1,2:40,0:03,63 of 118,26 of 67,1 of 1,10 of 17,10 of 16,7 of 7,31 of 65,42 of 90,1 of 2,1 of 1,42 of 68,0 of 0
168,Rob Font,David Martinez,0,0,49 of 158,62 of 155,31%,40%,49 of 158,115 of 210,0 of 5,0 of 2,0%,0%,0,0,0,0,0:59,0:33,40 of 138,33 of 115,7 of 17,10 of 16,2 of 3,19 of 24,49 of 158,62 of 155,0 of 0,0 of 0,0 of 0,0 of 0
169,Rafa Garcia,Jared Gordon,1,0,91 of 162,65 of 186,56%,34%,107 of 179,80 of 201,2 of 3,1 of 3,66%,33%,2,0,1,0,2:01,0:09,74 of 144,55 of 171,7 of 7,8 of 13,10 of 11,2 of 2,70 of 137,65 of 186,10 of 11,0 of 0,11 of 14,0 of 0
